joukkue,ottelut,voitot,tasapelit,häviöt,tm,pm,lp,pisteet,p/o,yv%,av%
Kärpät,60,33,16,11,195,134,8,123,2.05,0.2036,0.8421
TPS,60,30,15,15,187,147,7,112,1.87,0.2314,0.8406
Tappara,60,25,21,14,165,130,14,110,1.83,0.2049,0.8148
JYP,60,32,8,20,187,145,4,108,1.8,0.2396,0.8079
HIFK,60,26,17,17,163,128,8,103,1.72,0.2176,0.8137
KalPa,60,26,14,20,144,136,7,99,1.65,0.163,0.867
SaiPa,60,21,19,20,153,163,11,93,1.55,0.1847,0.7984
Ässät,60,23,12,25,163,177,7,88,1.47,0.1852,0.7729
Lukko,60,21,14,25,141,142,8,85,1.42,0.1441,0.8733
Pelicans,60,20,16,24,165,175,7,83,1.38,0.1878,0.8054
Ilves,60,21,13,26,162,190,5,81,1.35,0.1944,0.7513
HPK,60,20,11,29,145,157,7,78,1.3,0.2085,0.84
Jukurit,60,16,14,30,133,170,5,67,1.12,0.1802,0.8035
KooKoo,60,14,15,31,142,198,5,62,1.03,0.1703,0.7778
Sport,60,12,15,33,153,206,7,58,0.97,0.16,0.7289
